NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
75106001;LUXEMBOURG;48.844833;2.338500;50;20250101;13.3;1;4.6;1;1801;9;9.0;1;144;9;6.7;1;6.8;1;4.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250102;7.4;1;3.1;1;836;9;5.2;1;601;9;4.8;1;4.2;1;2.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250103;0.2;1;-0.1;1;653;9;5.5;1;1202;9;1.6;1;2.7;1;5.6;1;;;;;153;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250104;10.7;1;-2.2;1;547;9;11.5;1;525;9;0.4;1;4.7;1;13.7;1;;;;;626;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250105;2.2;1;1.0;1;1857;9;13.2;1;1316;9;11.3;1;7.1;1;12.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250106;2.8;1;7.5;1;1504;9;12.4;1;656;9;9.9;1;10.0;1;4.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250107;0.0;1;4.6;1;714;9;8.1;1;1218;9;6.3;1;6.4;1;3.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250108;14.9;1;4.2;1;1044;9;12.5;1;1859;9;7.6;1;8.4;1;8.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250109;1.0;1;2.8;1;944;9;11.1;1;640;9;6.4;1;7.0;1;8.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250110;0.0;1;3.0;1;1747;9;6.6;1;1422;9;4.0;1;4.8;1;3.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250111;0.0;1;-0.2;1;826;9;3.5;1;1350;9;1.4;1;1.7;1;3.7;1;;;;;143;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250112;0.0;1;1.4;1;1801;9;5.2;1;1311;9;3.1;1;3.3;1;3.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250113;0.0;1;0.8;1;825;9;5.9;1;1219;9;2.0;1;3.4;1;5.1;1;;;;;207;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250114;0.0;1;-3.0;1;656;9;6.1;1;1354;9;0.7;1;1.6;1;9.1;1;;;;;599;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250115;0.6;1;0.7;1;1801;9;7.1;1;1446;9;5.0;1;3.9;1;6.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844833;2.338500;50;20250116;0.0;1;2.1;1;551;9;5.2;1;1147;9;4.2;1;3.7;1;3.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
